"tiempo","fecha"
378966.560999632,"02/01/2016"
29081.9260005951,"03/01/2016"
153757.035999537,"04/01/2016"
74309.2420005798,"05/01/2016"
25284.5700001717,"07/01/2016"
138439.777002573,"08/01/2016"
50101.4489991665,"09/01/2016"
77707.8129999638,"10/01/2016"
278567.053996563,"11/01/2016"
474475.557000875,"12/01/2016"
175869.670002222,"13/01/2016"
798767.579000235,"14/01/2016"
389519.550000191,"15/01/2016"
536297.748999834,"16/01/2016"
66203.4410004616,"17/01/2016"
285857.638999701,"18/01/2016"
524802.755996466,"19/01/2016"
517084.493001461,"20/01/2016"
577953.76200223,"21/01/2016"
270481.18599844,"22/01/2016"
481151.801997185,"23/01/2016"
735824.626000881,"24/01/2016"
181038.367001295,"25/01/2016"
638686.78699851,"26/01/2016"
898472.021001101,"27/01/2016"
195821.817999125,"28/01/2016"
698661.953000307,"29/01/2016"
257880.941001415,"30/01/2016"
223413.774000883,"31/01/2016"
646829.039001226,"01/02/2016"
488616.556001186,"02/02/2016"
606305.521999598,"03/02/2016"
703405.602997303,"04/02/2016"
571880.553999662,"05/02/2016"
108090.787002087,"06/02/2016"
256035.10999918,"07/02/2016"
305056.766999483,"08/02/2016"
75457.3079996109,"09/02/2016"
174100.640001059,"10/02/2016"
272919.53799963,"11/02/2016"
56358.3659999371,"12/02/2016"
105155.829999447,"13/02/2016"
31423.1219997406,"14/02/2016"
333178.944999695,"15/02/2016"
639677.054999113,"16/02/2016"
218146.222998857,"17/02/2016"
607462.285001755,"18/02/2016"
574915.266996622,"19/02/2016"
352493.24499917,"20/02/2016"
567321.924999237,"21/02/2016"
491870.916999817,"22/02/2016"
534737.756994247,"23/02/2016"
390795.748997927,"24/02/2016"
291060.122999907,"25/02/2016"
368398.169001341,"26/02/2016"
64151.7809987068,"27/02/2016"
287868.84600091,"28/02/2016"
643048.457998276,"29/02/2016"
697072.93700099,"01/03/2016"
358817.683999777,"02/03/2016"
798019.045998335,"03/03/2016"
204368.9529984,"04/03/2016"
236325.585000753,"05/03/2016"
222952.621999979,"06/03/2016"
192187.002997637,"07/03/2016"
489887.542002439,"08/03/2016"
314840.18799901,"09/03/2016"
