"sexo","edad","tiempo","fecha"
"1","(45,60]",82649.2170007229,"16/08/2015"
"1","(60,Inf]",19681.646999836,"16/08/2015"
"0","(0,18]",8943.32299995422,"17/08/2015"
"0","(18,30]",88511.7330007553,"17/08/2015"
"0","(30,45]",280995.632999659,"17/08/2015"
"0","(45,60]",207200.547000885,"17/08/2015"
"0","(60,Inf]",106400.861000776,"17/08/2015"
"1","(0,18]",5132.18800020218,"17/08/2015"
"1","(18,30]",69368.1429989338,"17/08/2015"
"1","(30,45]",106776.847999811,"17/08/2015"
"1","(45,60]",92141.7239997387,"17/08/2015"
"1","(60,Inf]",9847.77200055122,"17/08/2015"
"0","(0,18]",10864.8019998074,"18/08/2015"
"0","(18,30]",96777.357000351,"18/08/2015"
"0","(30,45]",154361.739001036,"18/08/2015"
"0","(45,60]",178201.225000143,"18/08/2015"
"0","(60,Inf]",147626.026000261,"18/08/2015"
"1","(0,18]",7962.66900014877,"18/08/2015"
"1","(18,30]",63988.9239988327,"18/08/2015"
"1","(30,45]",154742.235998869,"18/08/2015"
"1","(45,60]",121529.058000565,"18/08/2015"
"1","(60,Inf]",6159.41099953651,"18/08/2015"
"0","(0,18]",5053.85700011253,"19/08/2015"
"0","(18,30]",114039.801000595,"19/08/2015"
"0","(30,45]",172870.604000568,"19/08/2015"
"0","(45,60]",231728.640000105,"19/08/2015"
"0","(60,Inf]",148611.144001484,"19/08/2015"
"1","(0,18]",4728.63800001144,"19/08/2015"
"1","(18,30]",70339.9409990311,"19/08/2015"
"1","(30,45]",146070.60300231,"19/08/2015"
"1","(45,60]",135981.650000095,"19/08/2015"
"1","(60,Inf]",36830.3609995842,"19/08/2015"
"0","(0,18]",13568.3269996643,"20/08/2015"
"0","(18,30]",65215.8349986076,"20/08/2015"
"0","(30,45]",219825.431001186,"20/08/2015"
"0","(45,60]",185054.284002781,"20/08/2015"
"0","(60,Inf]",106191.859999895,"20/08/2015"
"1","(18,30]",71224.2319996357,"20/08/2015"
"1","(30,45]",137615.64599967,"20/08/2015"
"1","(45,60]",114746.424999714,"20/08/2015"
"1","(60,Inf]",20475.4519989491,"20/08/2015"
"0","(0,18]",7059.19599962234,"21/08/2015"
"0","(18,30]",85879.9890012741,"21/08/2015"
"0","(30,45]",185563.160998344,"21/08/2015"
"0","(45,60]",178885.323000669,"21/08/2015"
"0","(60,Inf]",169335.43100071,"21/08/2015"
"1","(0,18]",1201.08400011063,"21/08/2015"
"1","(18,30]",47537.2290012836,"21/08/2015"
"1","(30,45]",119939.187000036,"21/08/2015"
"1","(45,60]",107183.9670012,"21/08/2015"
"1","(60,Inf]",18438.0320000648,"21/08/2015"
"0","(0,18]",9940.51800012589,"22/08/2015"
"0","(18,30]",17079.8919997215,"22/08/2015"
"0","(30,45]",93256.2130012512,"22/08/2015"
