"edad","tiempo","fecha"
"(60,Inf]",73373.0269992352,"24/10/2015"
"(0,18]",24021.5750002861,"25/10/2015"
"(18,30]",123815.182999134,"25/10/2015"
"(30,45]",253837.045999289,"25/10/2015"
"(45,60]",283770.516000271,"25/10/2015"
"(60,Inf]",177120.515000105,"25/10/2015"
"(0,18]",2861.75900006294,"26/10/2015"
"(18,30]",48610.5020000935,"26/10/2015"
"(30,45]",149805.422998905,"26/10/2015"
"(45,60]",140726.390999317,"26/10/2015"
"(60,Inf]",71863.8660001755,"26/10/2015"
"(0,18]",2266.36499977112,"27/10/2015"
"(18,30]",64264.5860004425,"27/10/2015"
"(30,45]",163746.172998905,"27/10/2015"
"(45,60]",141703.17100215,"27/10/2015"
"(60,Inf]",78938.5110008717,"27/10/2015"
"(0,18]",1254.81699991226,"28/10/2015"
"(18,30]",53158.1870014668,"28/10/2015"
"(30,45]",194051.781999111,"28/10/2015"
"(45,60]",305472.98599577,"28/10/2015"
"(60,Inf]",64227.1050014496,"28/10/2015"
"(0,18]",3459.96600031853,"29/10/2015"
"(18,30]",55828.8329987526,"29/10/2015"
"(30,45]",185565.41899991,"29/10/2015"
"(45,60]",118106.760999918,"29/10/2015"
"(60,Inf]",69010.5769999027,"29/10/2015"
"(0,18]",21259.1089999676,"30/10/2015"
"(18,30]",67616.3109993935,"30/10/2015"
"(30,45]",253138.205001354,"30/10/2015"
"(45,60]",215054.757998466,"30/10/2015"
"(60,Inf]",83055.6979997158,"30/10/2015"
"(0,18]",45031.3599998951,"31/10/2015"
"(18,30]",51845.9179997444,"31/10/2015"
"(30,45]",127363.032999754,"31/10/2015"
"(45,60]",152960.421000957,"31/10/2015"
"(60,Inf]",76701.026999712,"31/10/2015"
"(0,18]",31701.6929998398,"01/11/2015"
"(18,30]",51548.96200037,"01/11/2015"
"(30,45]",151986.636000872,"01/11/2015"
"(45,60]",198250.796000242,"01/11/2015"
"(60,Inf]",168986.132000923,"01/11/2015"
"(0,18]",31136.6499998569,"02/11/2015"
"(18,30]",102889.514999628,"02/11/2015"
"(30,45]",301033.618998528,"02/11/2015"
"(45,60]",257258.612999678,"02/11/2015"
"(60,Inf]",87773.7940006256,"02/11/2015"
"(0,18]",4394.15000033379,"03/11/2015"
"(18,30]",109662.259999752,"03/11/2015"
"(30,45]",287196.859999895,"03/11/2015"
"(45,60]",200062.068001032,"03/11/2015"
"(60,Inf]",79322.8129987717,"03/11/2015"
"(0,18]",6568.91899991035,"04/11/2015"
"(18,30]",127125.78599906,"04/11/2015"
"(30,45]",190667.237997055,"04/11/2015"
"(45,60]",184625.346999407,"04/11/2015"
"(60,Inf]",111914.656997681,"04/11/2015"
"(0,18]",1690.70399999619,"05/11/2015"
"(18,30]",75621.5080008507,"05/11/2015"
"(30,45]",219932.897999287,"05/11/2015"
"(45,60]",218390.886999846,"05/11/2015"
"(60,Inf]",99627.3760018349,"05/11/2015"
"(0,18]",44317.486000061,"06/11/2015"
"(18,30]",91660.0189990997,"06/11/2015"
"(30,45]",309421.603000164,"06/11/2015"
"(45,60]",326935.858000278,"06/11/2015"
"(60,Inf]",110690.568998337,"06/11/2015"
"(0,18]",44621.4829998016,"07/11/2015"
"(18,30]",143243.437000513,"07/11/2015"
"(30,45]",269253.823999643,"07/11/2015"
"(45,60]",225965.505001545,"07/11/2015"
"(60,Inf]",120007.357999325,"07/11/2015"
"(0,18]",33377.7199997902,"08/11/2015"
"(18,30]",63213.3150017262,"08/11/2015"
"(30,45]",384308.438000202,"08/11/2015"
"(45,60]",316870.296001434,"08/11/2015"
"(60,Inf]",98064.114998579,"08/11/2015"
"(18,30]",88140.3150017262,"09/11/2015"
"(30,45]",280501.528002977,"09/11/2015"
"(45,60]",238780.647000074,"09/11/2015"
"(60,Inf]",113879.803000927,"09/11/2015"
"(0,18]",17.0439999103546,"10/11/2015"
"(18,30]",118366.92099905,"10/11/2015"
"(30,45]",268920.083000422,"10/11/2015"
"(45,60]",361617.418000937,"10/11/2015"
"(60,Inf]",151289.716999292,"10/11/2015"
"(18,30]",94172.3960025311,"11/11/2015"
"(30,45]",322331.392000437,"11/11/2015"
