"sexo","tiempo","fecha"
"1",154750.696000814,"06/04/2016"
"0",449281.929000854,"07/04/2016"
"1",171715.020999193,"07/04/2016"
"0",380074.216997623,"08/04/2016"
"1",145636.745997906,"08/04/2016"
"0",308133.578999043,"09/04/2016"
"1",125354.965998888,"09/04/2016"
"0",93211.4359989166,"10/04/2016"
"1",8780.41000008583,"10/04/2016"
"0",207930.428997517,"11/04/2016"
"1",86671.2690002918,"11/04/2016"
"0",258633.177997351,"12/04/2016"
"1",70236.5380008221,"12/04/2016"
"0",288314.042999029,"13/04/2016"
"1",99394.0039989948,"13/04/2016"
"0",469122.028002024,"14/04/2016"
"1",192356.997001171,"14/04/2016"
"0",225766.896998644,"15/04/2016"
"1",65927.7869992256,"15/04/2016"
"0",18407.0729999542,"16/04/2016"
"1",14353.4580004215,"16/04/2016"
"0",631135.888000727,"17/04/2016"
"1",374984.980999947,"17/04/2016"
"0",468325.072998524,"18/04/2016"
"1",243703.825000286,"18/04/2016"
"0",283468.367999315,"19/04/2016"
"1",94710.8699998856,"19/04/2016"
"0",562384.909003019,"20/04/2016"
"1",284939.52099967,"20/04/2016"
"0",385429.222999573,"21/04/2016"
"1",170067.345998526,"21/04/2016"
"0",413481.108999491,"22/04/2016"
"1",181166.050000429,"22/04/2016"
"0",314898.38400197,"23/04/2016"
"1",188862.423997879,"23/04/2016"
"0",461925.394999266,"24/04/2016"
"1",342061.625999212,"24/04/2016"
"0",549606.863997221,"25/04/2016"
"1",325488.572000742,"25/04/2016"
"0",528363.187001228,"26/04/2016"
"1",264123.004001617,"26/04/2016"
"0",430777.936001539,"27/04/2016"
"1",224813.727001429,"27/04/2016"
"0",503316.682997942,"28/04/2016"
"1",245756.793998241,"28/04/2016"
"0",427273.256999731,"29/04/2016"
"1",210228.879999399,"29/04/2016"
"0",306541.435998917,"30/04/2016"
"1",179858.686000109,"30/04/2016"
"0",371771.498999834,"01/05/2016"
"1",287968.780000448,"01/05/2016"
"0",578081.830998898,"02/05/2016"
"1",329932.87200141,"02/05/2016"
"0",631645.560998678,"03/05/2016"
"1",325819.121998787,"03/05/2016"
"0",773695.062999487,"04/05/2016"
"1",479056.756000519,"04/05/2016"
